Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",12.6593,8.38857,12.7049,2.84024,29.259,29.259,0,0,,173.679,699.234,133.517,58.58,54.81,13.1821,50.0976,0.385547,7.45645,211.845,10.9778,2.59604,4.22865,0.683095,0.302968,0.0716464,0.23132114857435226,0.208074,1.0572,0.288813,0.757053,,,2.70781,5.49076,5.22262,11.119999885559082,,,,,,,1032.3000000000002,5.932758620689656,954,5.482758620689655,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Tarik Skubal","DET",13.4959,8.33112,14.368,2.91986,29.462,29.462,0,0,,183.8,730.768,142.922,64.28,59.63,18.0747,41.3699,0.415584,6.48606,215.295,10.5422,2.02573,5.20415,0.885049,0.294615,0.0566115,0.23800333216786385,0.209284,1.00268,0.277722,0.754852,,,2.88328,5.4571,5.34315,13.920000076293945,,,,,,,1057.4,5.746739130434783,975,5.298913043478261,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Logan Webb","SFG",13.4208,9.39518,16.412,3.50996,30.402,30.402,0,0,,196.515,807.41,189.745,82.31,76.64,14.339,39.9944,0.697465,6.85547,159.745,7.31602,1.83166,3.99419,0.656698,0.197849,0.0495342,0.1483149528503418,0.249481,1.16907,0.299085,0.703167,,,3.20447,4.62378,4.16203,97.9800033569336,,,,,,,970.6000000000001,4.926903553299493,982,4.9847715736040605,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Zack Wheeler","PHI",13.7736,8.71183,15.8066,3.42995,30.072,30.072,0,0,,192.204,784.889,160.665,78.56,73.25,21.2887,51.9449,0.376771,8.19584,201.475,9.43414,2.43233,3.87864,0.996847,0.256693,0.0661812,0.19051161408424377,0.221684,1.10617,0.277651,0.733292,,,3.4486,4.59498,4.15769,21.790000915527344,,,,,,,965.9000000000002,5.030729166666668,909,4.734375,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Logan Gilbert","SEA",13.0332,9.66194,15.7912,3.53993,30.693,30.693,0,0,,193.707,781.225,166.213,81.65,76.19,24.8258,40.0589,0.576096,5.84478,202.063,9.38823,1.86121,5.04415,1.15345,0.258649,0.051277,0.2073718123137951,0.226042,1.06487,0.278085,0.726592,,,3.45723,4.31272,3.95648,26.40999984741211,,,,,,,962.5000000000001,4.961340206185568,911,4.695876288659794,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Garrett Crochet","BOS",11.005,8.48188,9.3518,3.26021,29.415,29.415,0,0,,152.852,624.306,120.041,59.74,55.37,16.8587,48.5642,0.391785,5.34216,205.588,12.1051,2.85948,4.23333,0.992647,0.329307,0.0777891,0.2515178769826889,0.210451,1.10306,0.296543,0.750779,,,2.96828,4.24523,3.63242,24.010000228881836,,,,,,,861.1000000000001,5.6281045751634,794,5.189542483660131,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Chris Sale","ATL",11.6862,6.75891,11.5749,3.31998,25.682,25.682,0,0,,153.245,629.611,127.992,61.06,56.53,15.7202,42.8597,0.328127,8.51711,190.279,11.175,2.51713,4.43956,0.923237,0.302216,0.0680733,0.23414255678653717,0.22135,1.1149,0.301616,0.737633,,,3.0225,4.10964,3.52771,36.5,,,,,,,826.6000000000001,5.4026143790849686,781,5.104575163398692,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Cole Ragans","KCR",12.1857,8.97558,13.5455,3.49988,29.453,29.453,0,0,,176.612,735.213,143.676,73.69,68.68,18.3973,67.0488,0.460708,6.01752,206.468,10.5215,3.41675,3.07937,0.937509,0.280828,0.0911965,0.1896313577890396,0.216985,1.19315,0.286494,0.740854,,,3.42369,4.10508,3.69892,46.06999969482422,,,,,,,906.9999999999999,5.1242937853107335,844,4.768361581920904,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Justin Steele","CHC",11.7667,8.63071,12.442,3.40984,28.793,28.793,0,0,,168.316,688.773,150.13,68.98,63.77,15.9576,41.4841,0.338644,5.95721,156.771,8.38266,2.21819,3.77905,0.853267,0.227609,0.060229,0.16737956926226616,0.234091,1.13842,0.286323,0.724473,,,3.38174,3.92928,3.64575,118.3499984741211,,,,,,,829.4000000000001,4.936904761904763,805,4.791666666666667,,,,,,,,,,,,,,,,,,,"Justin Steele","17312",657006
"Dylan Cease","SDP",12.1775,9.73271,13.9268,3.65,30.718,30.718,0,0,,182.392,758.032,145.074,78.96,73.97,21.7387,69.3716,0.672928,6.95337,217.787,10.7465,3.42309,3.13943,1.07268,0.287306,0.0915154,0.19579057395458221,0.21281,1.17574,0.278925,0.736289,,,3.58318,3.85265,3.48099,47.439998626708984,,,,,,,907.1999999999998,4.984615384615384,832,4.571428571428571,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
