Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Paul Skenes","PIT",12.9853,8.8623,21.0987,2.80213,30.78,30.78,0,0,188.104,759.404,147.096,64.7514,58.5659,15.7172,55.116,,7.5265,242.131,11.5849,2.63707,4.39311,0.752,0.318843,0.072578,0.24626509845256805,0.211114,1.075,0.299328,0.762789,0.470317,,2.67733,5.78253,5.77943,12.5600004196167,,,,"33677"
"Jacob deGrom","TEX",12.1013,7.2868,18.3758,2.8462,27.54,27.54,0,0,166.038,657.056,125.798,56.9826,52.5086,18.5778,33.3173,,5.3767,224.263,12.156,1.80595,6.73112,1.007,0.341315,0.0507069,0.2906077653169632,0.203437,0.958306,0.285523,0.767301,0.382932,,2.61882,5.64681,4.78127,37.220001220703125,,,,"10954"
"Tarik Skubal","DET",13.1929,9.5765,21.6204,2.92258,32,32,0,0,196.234,788.405,161.046,69.969,63.7233,19.6452,44.9415,,8.0031,229.586,10.5296,2.06118,5.10855,0.901,0.291203,0.0570031,0.23419992998242378,0.218973,1.0497,0.290811,0.762076,0.435915,,2.93741,5.06658,5.09835,14,,,,"22267"
"Garrett Crochet","CHW",11.288,9.5732,17.7376,2.932,30.78,30.78,0,0,170.138,681.37,128.793,60.5127,55.4272,17.6188,51.175,,6.5146,222.24,11.7561,2.70706,4.34276,0.932,0.326167,0.075106,0.2510611042380333,0.206505,1.05778,0.289651,0.769182,0.427096,,2.91746,4.85111,4.7043,42.33000183105469,,,,"27463"
"Zack Wheeler","PHI",13.4479,9.445,20.5961,3.31911,32,32,0,0,198.518,809.947,171.097,79.7734,73.2115,22.6972,50.97,,8.6616,212.39,9.6289,2.31077,4.16696,1.029,0.262227,0.06293,0.1992969885468483,0.228033,1.11862,0.288027,0.747769,0.425638,,3.41421,4.64243,4.75495,20.219999313354492,,,,"10310"
"Chris Sale","ATL",13.8739,7.8491,19.973,3.07057,30.78,30.78,0,0,186.772,754.33,152.335,69.4892,63.7219,19.6318,46.9699,,8.969,230.409,11.1027,2.26334,4.90547,0.946,0.305449,0.062267,0.24318190664052963,0.218122,1.0671,0.29598,0.755531,0.425511,,2.96416,4.48113,5.05359,36.779998779296875,,,,"10603"
"Corbin Burnes",,12.2096,10.6778,19.2755,3.64143,32,32,0,0,197.374,821.705,181.938,86.9772,79.858,22.2374,55.0649,,7.4068,201.489,9.18764,2.51089,3.65911,1.014,0.245208,0.067013,0.17819496989250183,0.239634,1.20078,0.298223,0.728738,0.453,,3.53899,3.87356,3.58736,40.439998626708984,,,,"19361"
"Cole Ragans","KCR",12.5934,10.017,19.0003,3.52043,32,32,0,0,193.061,807.789,165.523,81.9475,75.5177,20.5289,72.9659,,6.8622,218.885,10.2038,3.40147,2.99982,0.957,0.270968,0.0903279,0.18064001202583313,0.227379,1.2353,0.296786,0.746329,0.406675,,3.52175,3.82348,4.23624,47.560001373291016,,,,"21846"
"Sonny Gray","STL",12.0362,9.6604,18.414,3.43471,30.78,30.78,0,0,184.766,765.391,165.43,77.0187,70.5129,19.6467,51.3608,,6.8357,197.56,9.62321,2.5018,3.84651,0.957,0.258116,0.067104,0.1910121813416481,0.233924,1.17333,0.297524,0.73842,0.447268,,3.35525,3.69265,3.83891,111.88999938964844,,,,"12768"
"Framber Valdez","HOU",12.7446,9.5178,20.0208,3.4443,30.78,30.78,0,0,194.848,809.84,183.04,82.5853,74.5681,16.5187,62.3059,,9.0759,187.488,8.66009,2.87791,3.00916,0.763,0.231513,0.0769361,0.15457693487405777,0.247868,1.25917,0.311574,0.732431,0.567966,,3.44317,3.69052,3.69244,67.77999877929688,,,,"17295"
"Pablo López","MIN",12.1276,10.5093,18.6472,3.62277,32,32,0,0,193.107,798.952,177.709,84.2702,77.7312,23.3015,48.0721,,8.6183,202.898,9.45633,2.24047,4.2207,1.086,0.253955,0.0601689,0.19378596916794777,0.239416,1.16921,0.299204,0.732614,0.431035,,3.51445,3.63648,3.46792,65.22000122070312,,,,"17085"
"Tyler Glasnow","LAD",10.3558,6.4406,14.313,3.22405,24.3,24.3,0,0,141.025,569.34,114.946,55.0407,50.5193,15.7635,39.9284,,3.4969,174.77,11.1535,2.54816,4.37708,1.006,0.306969,0.070131,0.23683808743953705,0.218564,1.0982,0.295731,0.751729,0.449349,,3.06481,3.61731,3.35933,103,,,,"14374"
"Dylan Cease","SDP",12.5482,9.8217,18.3125,3.52788,32,32,0,0,188.994,788.13,156.33,80.038,74.083,22.4902,70.3517,,6.4438,224.303,10.6815,3.35019,3.18832,1.071,0.284602,0.0892641,0.19533808529376984,0.21977,1.19942,0.288113,0.751267,0.380462,,3.55883,3.60998,3.69096,48.66999816894531,,,,"18525"
"Blake Snell",,12.6193,8.7288,17.2802,3.51305,30.78,30.78,0,0,179.426,751.993,142.011,75.7946,70.0368,21.8102,77.2568,,5.3489,233.001,11.6874,3.87521,3.01593,1.094,0.309845,0.102736,0.20710911601781845,0.212151,1.22206,0.289938,0.76019,0.397857,,3.53068,3.59425,3.56974,47.66999816894531,,,,"13543"
"Shane McClanahan","TBR",11.2753,9.4652,18.2747,3.32833,29.16,29.16,0,0,178.046,729.397,153.697,71.9246,65.8439,19.8818,52.0002,,5.143,198.159,10.0167,2.62855,3.81074,1.005,0.271675,0.071292,0.20038306713104248,0.22863,1.15531,0.294609,0.752112,0.448507,,3.35505,3.56448,3.52978,97.77999877929688,,,,"21483"
"Logan Webb","SFG",12.0776,11.0396,20.4458,3.48146,32,32,0,0,201.109,841.11,202.848,86.3901,77.7949,16.8485,45.2155,,6.4454,174.909,7.82748,2.02347,3.86834,0.754,0.20795,0.0537569,0.15419302508234978,0.256949,1.23348,0.311196,0.720227,0.558832,,3.28679,3.55676,3.52707,91.77999877929688,,,,"17995"
"Logan Gilbert","SEA",12.1583,10.8134,20.2816,3.41877,32,32,0,0,198.742,807.893,176.236,81.8525,75.4947,24.9311,42.8353,,6.1044,207.738,9.40738,1.93979,4.84968,1.129,0.257135,0.053021,0.2041141465306282,0.23221,1.10229,0.287497,0.745075,0.405621,,3.44547,3.52533,3.47475,29.780000686645508,,,,"22250"
"Sandy Alcantara","MIA",10.9346,11.6868,19.4202,3.83649,30.78,30.78,0,0,199.32,835.725,198.248,92.6146,84.9656,21.9474,50.4703,,8.0179,179.733,8.11554,2.27891,3.56116,0.991,0.215062,0.060391,0.1546708643436432,0.255068,1.24783,0.306314,0.716099,0.479823,,3.67478,3.49465,3.39461,177.11000061035156,,,,"18684"
